"","","","","","","Var1","Var2","Var3","train_QQ_Y"
"1",0.0780445910920389,0.849028656820301,0.102447433050256,0.663672085610451,0.767567531596869,1,1,1,16.9319276657305
"2",0.553654892938212,0.74930285856477,0.84170702887699,0.666326148036169,0.223202945089433,1,1,1,28.1099092841614
"3",0.256026420493145,0.152707669553347,0.775474273327272,0.400725872215116,0.332201316886349,1,1,1,15.8493423558888
"4",0.311634705748875,0.373745608939789,0.502525227831211,0.751505011015106,0.932220170414075,1,1,1,19.3941055353498
"5",0.868168227849528,0.205741645289818,0.321683910264401,0.894510221615201,0.195732596465386,1,1,1,22.9010400501895
"6",0.588138657549862,0.598265795103507,0.149015913453186,0.196795870334608,0.451431131758727,1,1,1,15.3221623644116
"7",0.817951023338828,0.721171292703366,0.570843649968738,0.490066851474112,0.0416112242639065,1,1,1,26.0003281748504
"8",0.604051886176458,0.950887736059958,0.727295850358205,0.812342184865847,0.558844166783383,1,1,1,30.9457765746047
"9",0.263908691146644,0.594267114658142,0.659498255073559,0.332134707546793,0.615319019795861,1,1,1,18.4980876842514
"10",0.966162435830338,0.245322870661039,0.765027463003062,0.0843057215050794,0.91270837785909,1,1,1,20.6081849099952
"11",0.920303004204761,0.367646962404251,0.0242219906335231,0.319170326093445,0.41835065646912,1,1,1,16.3134228333598
"12",0.0336102551477961,0.697213867611717,0.496256317486987,0.589437190971803,0.978253438543761,1,1,1,18.165176312183
"13",0.301159145055572,0.323692507413216,0.110934972573305,0.99677060942282,0.720199398975819,1,1,1,17.3255723446491
"14",0.56209862284828,0.832637960960856,0.806147171731573,0.399279079143889,0.786278068654938,1,1,1,26.001628346846
"15",0.952397036966868,0.835369078265503,0.578110468958039,0.0993314235820435,0.601545848565875,1,1,1,24.6520800777245
"16",0.269126129804645,0.651922210665652,0.637364957097452,0.0172674698010087,0.128318465402117,1,1,1,15.7568076736876
"17",0.51930453208508,0.737908662239788,0.959911384286825,0.917802861862583,0.509140911739087,1,1,1,31.3492744047428
"18",0.663132626438746,0.957045210774522,0.203532765748678,0.643805351221236,0.682531078853644,1,1,1,24.6751595418318
