"","","Var1","Var2","Var3","Var4","Var5","Var6","train_QQ_Y"
"1",0.765265848999843,1,1,1,1,1,1,-1.09477402910484
"2",0.913880834635347,1,1,1,1,1,1,-1.08240645429048
"3",0.141651733685285,1,1,1,1,1,1,-1.73775633945691
"4",0.545599018642679,1,1,1,1,1,1,-1.50364221176007
"5",0.259247533697635,1,1,1,1,1,1,-1.75306258045257
"6",0.0344560611061752,2,1,1,1,1,1,-1.84286600780927
"7",0.301641650404781,2,1,1,1,1,1,-1.74860377716099
"8",0.755734513932839,2,1,1,1,1,1,-1.26957871638503
"9",0.506454743118957,2,1,1,1,1,1,-1.49368905513257
"10",0.8677370919846,2,1,1,1,1,1,-1.04658801703132
"11",0.0855075630359352,3,1,1,1,1,1,-1.81977917511792
"12",0.332891854317859,3,1,1,1,1,1,-1.61729382592714
"13",0.986232603620738,3,1,1,1,1,1,-1.09849903832163
"14",0.658820151770487,3,1,1,1,1,1,-1.40883597313452
"15",0.412419859273359,3,1,1,1,1,1,-1.55730172269579
"16",0.482274446729571,1,2,1,1,1,1,-1.55644474339019
"17",0.825584412785247,1,2,1,1,1,1,-1.24845007235257
"18",0.792362512648106,1,2,1,1,1,1,-1.22073121464636
"19",0.175604400690645,1,2,1,1,1,1,-1.75235631659284
"20",0.24441462950781,1,2,1,1,1,1,-1.81546452400795
"21",0.509523371979594,2,2,1,1,1,1,-1.37925299318811
"22",0.881103640794754,2,2,1,1,1,1,-1.21093981121696
"23",0.630654108710587,2,2,1,1,1,1,-1.27669738765057
"24",0.155898605426773,2,2,1,1,1,1,-1.7894053679476
"25",0.244015671964735,2,2,1,1,1,1,-1.84818865722387
"26",0.475410440284759,3,2,1,1,1,1,-1.51732840944325
"27",0.203951875120401,3,2,1,1,1,1,-1.84116544120463
"28",0.966987261874601,3,2,1,1,1,1,-1.16017126770172
"29",0.0159349680412561,3,2,1,1,1,1,-1.86729044612753
"30",0.779452927550301,3,2,1,1,1,1,-1.16188287516013
"31",0.440309882862493,1,3,1,1,1,1,-1.55385434921591
"32",0.355537382839248,1,3,1,1,1,1,-1.80658156235762
"33",0.0977315382566303,1,3,1,1,1,1,-1.74183732195717
"34",0.686025491217151,1,3,1,1,1,1,-1.31323474772788
"35",0.889423184935003,1,3,1,1,1,1,-1.06238923391378
"36",0.285175268677995,2,3,1,1,1,1,-1.90251433328461
"37",0.0620585594326258,2,3,1,1,1,1,-1.78407987304416
"38",0.913141610939056,2,3,1,1,1,1,-0.942865498375323
"39",0.778631474170834,2,3,1,1,1,1,-1.34790433807287
"40",0.456747106276453,2,3,1,1,1,1,-1.37987009609829
"41",0.814579825568944,3,3,1,1,1,1,-1.06532896524175
"42",0.148911406099796,3,3,1,1,1,1,-1.84867046411327
"43",0.218240620009601,3,3,1,1,1,1,-1.905944481892
"44",0.509506704518571,3,3,1,1,1,1,-1.40648386958844
"45",0.694447977887467,3,3,1,1,1,1,-1.41388202057313
"46",0.933579195244238,1,1,2,1,1,1,-1.1113143661396
"47",0.297412558598444,1,1,2,1,1,1,-1.82481213014891
"48",0.435234839702025,1,1,2,1,1,1,-1.84328784089304
"49",0.0248644389677793,1,1,2,1,1,1,-1.73416151578551
"50",0.623425185400993,1,1,2,1,1,1,-1.2722258482653
"51",0.0209310693200678,2,1,2,1,1,1,-1.74674875079894
"52",0.94436217485927,2,1,2,1,1,1,-0.802427656608319
"53",0.63223358024843,2,1,2,1,1,1,-1.44969293432132
"54",0.255497792595997,2,1,2,1,1,1,-1.81011807623042
"55",0.557991519710049,2,1,2,1,1,1,-1.46366985220475
"56",0.497195427492261,3,1,2,1,1,1,-1.69392673430606
"57",0.0867710707243532,3,1,2,1,1,1,-1.72603910272184
"58",0.765669325599447,3,1,2,1,1,1,-0.902022139631705
"59",0.370986327854916,3,1,2,1,1,1,-1.51892095990555
"60",0.831176375923678,3,1,2,1,1,1,-0.792371781369569
"61",0.179454058082774,1,2,2,1,1,1,-1.68961767391846
"62",0.979101798823103,1,2,2,1,1,1,-1.26895263366304
"63",0.734983259625733,1,2,2,1,1,1,-1.06754327448424
"64",0.523577508563176,1,2,2,1,1,1,-1.37395121066677
"65",0.304693780653179,1,2,2,1,1,1,-2.01495544812444
