"","","Var1","Var2","Var3","Var4","Var5","Var6","train_QQ_Y"
"1",0.93283040500246,1,1,1,1,1,1,-1.08863044059181
"2",0.0962044681422412,1,1,1,1,1,1,-1.76341344539538
"3",0.212670878972858,1,1,1,1,1,1,-1.73859452191284
"4",0.478021835815161,1,1,1,1,1,1,-1.64040661062074
"5",0.782105296244845,1,1,1,1,1,1,-1.08289821980207
"6",0.954844262311235,2,1,1,1,1,1,-0.91954280451788
"7",0.618566344957799,2,1,1,1,1,1,-1.41715428704179
"8",0.334670554660261,2,1,1,1,1,1,-1.71512745194762
"9",0.165514078736305,2,1,1,1,1,1,-1.78323228276814
"10",0.557457122439519,2,1,1,1,1,1,-1.45318873738289
"11",0.547852685907856,3,1,1,1,1,1,-1.61043428562071
"12",0.627226155856624,3,1,1,1,1,1,-1.50008907759797
"13",0.10062922690995,3,1,1,1,1,1,-1.81911029382948
"14",0.917450561048463,3,1,1,1,1,1,-1.03943239247442
"15",0.366954909078777,3,1,1,1,1,1,-1.5773770050102
"16",0.837842231057584,1,2,1,1,1,1,-1.25570109715065
"17",0.690612753713504,1,2,1,1,1,1,-1.14403180165679
"18",0.105381608894095,1,2,1,1,1,1,-1.74304060879398
"19",0.385541585087776,1,2,1,1,1,1,-1.80171885572787
"20",0.598108346946537,1,2,1,1,1,1,-1.22770640232055
"21",0.763640990341082,2,2,1,1,1,1,-1.35195134981497
"22",0.0193408358376473,2,2,1,1,1,1,-1.8595323378117
"23",0.575639186287299,2,2,1,1,1,1,-1.28486279189566
"24",0.204865483148023,2,2,1,1,1,1,-1.82575128615687
"25",0.807494725985453,2,2,1,1,1,1,-1.33364697868129
"26",0.917935322783887,3,2,1,1,1,1,-1.19566066142731
"27",0.331455219583586,3,2,1,1,1,1,-1.70651953573245
"28",0.550664755422622,3,2,1,1,1,1,-1.46132812801358
"29",0.0139530058950186,3,2,1,1,1,1,-1.87099508170665
"30",0.645301584014669,3,2,1,1,1,1,-1.3336671274785
"31",0.95898600006476,1,3,1,1,1,1,-1.07357599457462
"32",0.586412268830463,1,3,1,1,1,1,-1.319673330917
"33",0.766284868028015,1,3,1,1,1,1,-1.22516435117397
"34",0.227009357046336,1,3,1,1,1,1,-1.86801057314538
"35",0.00563266114331782,1,3,1,1,1,1,-1.88567199088015
"36",0.73813492837362,2,3,1,1,1,1,-1.44334431661597
"37",0.134259560750797,2,3,1,1,1,1,-1.79148416398503
"38",0.9327848311048,2,3,1,1,1,1,-0.913785806471557
"39",0.386402772273868,2,3,1,1,1,1,-1.62051352184884
"40",0.527768202172592,2,3,1,1,1,1,-1.28762128646287
"41",0.595896448893473,3,3,1,1,1,1,-1.49745449826105
"42",0.12488613515161,3,3,1,1,1,1,-1.82076065165039
"43",0.770184987597167,3,3,1,1,1,1,-1.18572276867859
