"","","Var1","Var2","Var3","Var4","Var5","Var6","train_QQ_Y"
"1",0.941606126260012,1,1,1,1,1,1,-1.09132956568346
"2",0.514673631591722,1,1,1,1,1,1,-1.57058607555746
"3",0.334347039880231,1,1,1,1,1,1,-1.76660377762553
"4",0.179284422611818,1,1,1,1,1,1,-1.73328578299594
"5",0.777892192825675,1,1,1,1,1,1,-1.08554481606201
"6",0.841171089978889,2,1,1,1,1,1,-1.10034340980513
"7",0.425046470249072,2,1,1,1,1,1,-1.59219680425592
"8",0.652581300400197,2,1,1,1,1,1,-1.394624787205
"9",0.281561668869108,2,1,1,1,1,1,-1.76379528217312
"10",0.104394318116829,2,1,1,1,1,1,-1.78673423944779
"11",0.934411904262379,3,1,1,1,1,1,-1.0590949700802
"12",0.0575198849663138,3,1,1,1,1,1,-1.82900060789402
"13",0.56199586968869,3,1,1,1,1,1,-1.60411853154114
"14",0.263765571312979,3,1,1,1,1,1,-1.72915935074595
"15",0.760653537139297,3,1,1,1,1,1,-1.08040315418654
"16",0.128607724560425,1,2,1,1,1,1,-1.73638957202414
"17",0.320931929070502,1,2,1,1,1,1,-1.85617830450691
"18",0.854507324751467,1,2,1,1,1,1,-1.26201899332761
"19",0.7982676547952,1,2,1,1,1,1,-1.22628561091652
"20",0.428685491299257,1,2,1,1,1,1,-1.71167310452111
"21",0.577278194297105,2,2,1,1,1,1,-1.28373208773205
"22",0.306513873441145,2,2,1,1,1,1,-1.83450754567444
"23",0.676454779645428,2,2,1,1,1,1,-1.30397913677661
"24",0.810159796103835,2,2,1,1,1,1,-1.33120041233478
"25",0.131716601736844,2,2,1,1,1,1,-1.77706969563074
"26",0.550448839413002,3,2,1,1,1,1,-1.46152471611027
"27",0.987517196917906,3,2,1,1,1,1,-1.12618869940365
"28",0.243214869592339,3,2,1,1,1,1,-1.82610057855039
"29",0.752434028033167,3,2,1,1,1,1,-1.17726231648532
"30",0.0576864077709615,3,2,1,1,1,1,-1.8143276938109
"31",0.0696962500922382,1,3,1,1,1,1,-1.76223008426662
"32",0.642808718699962,1,3,1,1,1,1,-1.32199814834248
"33",0.549729693634436,1,3,1,1,1,1,-1.33408811957523
"34",0.240124041819945,1,3,1,1,1,1,-1.88264443772043
"35",0.861136011267081,1,3,1,1,1,1,-1.08283092822714
"36",0.0597765684127808,2,3,1,1,1,1,-1.78643974524274
"37",0.80365624697879,2,3,1,1,1,1,-1.26872033906359
"38",0.258595801098272,2,3,1,1,1,1,-1.9204070125626
"39",0.677294609602541,2,3,1,1,1,1,-1.47749893088247
"40",0.487994290469214,2,3,1,1,1,1,-1.31491456900459
"41",0.65831471728161,3,3,1,1,1,1,-1.481902151495
