"","","","","","","Var1","Var2","Var3","train_QQ_Y"
"1",0.920439155435888,0.945900088276248,0.804841138578486,0.570983438196126,0.336201012628153,1,1,1,32.4216382048675
"2",0.363505865620682,0.387038918476319,0.334916706875665,0.914075100118061,0.516174605495762,1,1,1,19.9953659109073
"3",0.282678389364155,0.610707285507815,0.779211579029215,0.371447984968545,0.272726919329725,1,1,1,20.4404523886973
"4",0.697825152650476,0.425468351804884,0.173074792983243,0.720401820623083,0.284316423977725,1,1,1,20.1677011806169
"5",0.333958377529634,0.410175912291743,0.981311222666409,0.610962927006185,0.664818957004463,1,1,1,23.3640843949397
"6",0.0686007571651135,0.79064409963903,0.950210290679242,0.819674183909083,0.14562852097908,1,1,1,26.2912933139247
"7",0.0365988817613106,0.487705185041996,0.781950991455233,0.290840322979493,0.456205043855589,1,1,1,15.9709538123803
"8",0.756536139898235,0.29690202611615,0.0697509884845931,0.124069481334882,0.267115082219243,1,1,1,12.4725863583386
"9",0.263244223502697,0.677402199995704,0.730736714511877,0.93165319686872,0.677486470543081,1,1,1,26.03036334879
"10",0.177888869157759,0.624217484527035,0.0352323381451424,0.901157746682875,0.232151226536371,1,1,1,17.3849643851281
"11",0.586513290461153,0.154220479300711,0.818156246878207,0.986752693653107,0.593806279193377,1,1,1,25.4564271029318
"12",0.572480432633311,0.917293908387655,0.119098998759873,0.962519427572843,0.583355881380849,1,1,1,25.7139276735368
"13",0.49169474069844,0.441602479720023,0.128327659296338,0.601287122706417,0.906061910062563,1,1,1,16.6291200242122
"14",0.0981120070477482,0.29389587646001,0.162046573176049,0.119224065408343,0.575730556305498,1,1,1,6.7327852209215
"15",0.902788242747774,0.980008744350635,0.0572950901568402,0.667740731925005,0.828075155615807,1,1,1,26.0783280918025
"16",0.912756710516987,0.454785290460568,0.728917634309037,0.433954858446959,0.667867916721152,1,1,1,25.3041449373355
"17",0.769978593772976,0.786096723303199,0.0983264456409961,0.28540424076491,0.748895127245924,1,1,1,19.3980600348208
"18",0.98438594529056,0.109962064165156,0.423312344581354,0.416302743665874,0.640742014731513,1,1,1,19.3396309770294
"19",0.130476620183326,0.332620909878751,0.51101872209576,0.870793488527415,0.405404940031003,1,1,1,18.4490974068525
"20",0.639380742004141,0.739311361649306,0.763523634166922,0.0727675640117377,0.806681596374838,1,1,1,22.1498330183211
"21",0.210341632411582,0.139290410395479,0.207619482458103,0.378902074014768,0.0420308003469836,1,1,1,9.36153599279933
"22",0.073122117551975,0.0911915272031911,0.989108504561009,0.787916029361077,0.177575204893947,1,1,1,19.4133817867725
"23",0.0888740694872104,0.491873154276982,0.65478016970912,0.459920478612185,0.508993147829315,1,1,1,16.954478720855
