"","","z_QQ","train_QQ_Y"
"1",0.920823914480861,1,2.07828210060606
"2",0.323850982554723,1,2.98406882658913
"3",0.869883227933664,1,1.22808558990604
"4",0.988108302454464,1,2.97498268004007
"5",0.202136732279323,1,1.21530661362775
"6",0.0685217357985675,1,2.27557906026732
"7",0.445760158136953,1,1.47867799553816
"8",0.327289995524101,1,2.99351878679354
"9",0.985129138160497,1,2.96096995929361
"10",0.934398109970149,1,2.32804171795232
"11",0.715488164623734,1,2.60561045009227
"12",0.806288558863103,1,1.12714908496943
"13",0.682219722410198,1,2.95733311574771
"14",0.115587533889338,1,1.4287915658494
"15",0.456654601596762,1,1.31561869469962
"16",0.946130305026658,1,2.52726324944498
"17",0.736862107994966,1,2.24511996449206
"18",0.0136093929335475,1,2.96727597069772
"19",0.875359017573297,1,1.29769459293895
"20",0.379382667741738,1,2.64634666244055
"21",0.223695930519607,1,1.52424690898699
"22",0.13448629005719,1,1.17840088392044
"23",0.613340156880673,1,2.53593538871114
"24",0.885881518037524,1,1.45173653897691
"25",0.113823185617104,1,1.45640005703502
"26",0.0353386498964392,1,2.78622650947771
"27",0.987119853173848,1,2.97067219542769
"28",0.254440054587554,1,2.08359538639786
"29",0.158397062059492,1,1.01212445389565
"30",0.189530950535089,1,1.09144388745784
"31",0.773958067799918,1,1.5635952627405
"32",0.260479164019227,1,2.19624559786884
"33",0.242835761767346,1,1.86536736851067
"34",0.0168819646593183,1,2.94979461312582
"35",0.759194702357519,1,1.82755033255994
"36",0.837949982448015,1,1.00378400672732
"37",0.434027889882214,1,1.67855853372165
"38",0.881782388800755,1,1.38881797681343
"39",0.290540052490309,1,2.69193222729142
"40",0.357688462396618,1,2.896459058402
"41",0.559070623968262,1,1.55843579677207
"42",0.994543634004425,1,2.9947155916689
"43",0.0149489777148701,1,2.96056156049545
"44",0.707931295648217,1,2.71244504467944
"45",0.48925596315274,1,1.02043724529153
"46",0.315009391293395,1,2.94094071817776
"47",0.820366123743355,1,1.02972364196264
"48",0.982090773331933,1,2.94355862179716
"49",0.516429008616134,1,1.04756871280765
"50",0.860772049126681,1,1.13079672127336
"51",0.205836064695846,1,1.260403556031
"52",0.942100649636704,1,2.46126400583095
"53",0.850828187732957,1,1.05388322813307
"54",0.0499969874732196,1,2.58783119120655
"55",0.97686234333599,1,2.90639134622382
"56",0.0988882641410455,1,1.71097947668002
"57",0.89170605827542,1,1.54667121046254
"58",0.636452276857104,1,2.84215567917964
"59",0.579567833598703,1,1.92908158356341
"60",0.0804830371579155,1,2.0537009731708
"61",0.770869661774486,1,1.61668400781647
"62",0.924244188729208,1,2.14234775945014
"63",0.751748367207591,1,1.9670500197695
"64",0.0963639412126504,1,1.75684109998805
"65",0.959974060522858,1,2.72863383261595
"66",0.487323972925544,1,1.0284100099809
"67",0.316840147303883,1,2.95206192538081
"68",0.817432376174722,1,1.04458256863967
