"","","","","Var1","Var2","Var3","train_QQ_Y"
"1",0.15083833625773,0.415566641265759,0.666244126610691,1,1,1,494.561146957203
"2",0.80147685686592,0.624671073920326,0.675295754898107,1,1,1,595.139117639872
"3",0.576113976909546,0.151526783629088,0.222451121787308,1,1,1,465.37269951142
"4",0.994355285359779,0.789778577681864,0.858425741527462,1,1,1,626.162763402452
"5",0.877553135185735,0.1151738318766,0.374119064545957,1,1,1,517.133557864877
"6",0.480457850247622,0.0889874887478072,0.689120408981107,1,1,1,509.537095474816
"7",0.311958929512184,0.57792307706899,0.941293035043636,1,1,1,556.124892084046
"8",0.590072165343445,0.184889313450549,0.40972202729783,1,1,1,503.07021379359
"9",0.449187074325746,0.637382848535199,0.615764265895123,1,1,1,544.83846670103
"10",0.0342625258537009,0.666442563035525,0.0836278578382917,1,1,1,388.324618429583
"11",0.494004068670329,0.925798250590451,0.776109837094555,1,1,1,557.967469081423
"12",0.276099460643018,0.177819370720536,0.734384578266181,1,1,1,497.482203143766
"13",0.469569914538879,0.670098076380091,0.594551512213657,1,1,1,544.8046962924
"14",0.424788196118316,0.738287852762733,0.698836186326807,1,1,1,549.051152198774
"15",0.898184956336627,0.52167414376745,0.521527638095431,1,1,1,582.977318760269
"16",0.978664650877472,0.214737887152005,0.584251507282024,1,1,1,570.819115369791
"17",0.00307426868705079,0.230559388078982,0.0136871035210788,1,1,1,342.708712054604
"18",0.397034882219741,0.435739672089694,0.385369900267106,1,1,1,499.270958015545
"19",0.633061459587188,0.361340828117682,0.321803556300001,1,1,1,515.964578016394
"20",0.561966996521223,0.981942666998366,0.774075370042119,1,1,1,563.412362122838
"21",0.471563846239587,0.839223653326044,0.608778376119444,1,1,1,540.875853874616
"22",0.390602454027394,0.434957126749214,0.8006564026454,1,1,1,550.908663334774
"23",0.283858620977262,0.0623274197801948,0.761469538081437,1,1,1,481.963833835147
"24",0.0508143218699843,0.695099026347743,0.838646906010108,1,1,1,499.768921402135
"25",0.514886741178343,0.140520287860418,0.610424905837281,1,1,1,513.858548602489
"26",0.229624994513579,0.0507772763620596,0.934559121652274,1,1,1,486.286479037689
"27",0.0623711735522375,0.562398118976271,0.190278303512605,1,1,1,413.395130611171
"28",0.0299626606458332,0.581900789557258,0.826835428017657,1,1,1,495.208150257168
"29",0.609324216491077,0.395721502517117,0.997702706835698,1,1,1,595.262006195482
"30",0.557751381252892,0.933307255480904,0.547263329648413,1,1,1,539.314954690305
"31",0.0576514055114239,0.9135074778134,0.401066962183686,1,1,1,437.41489458068
"32",0.858518911502324,0.805937117800349,0.204176083004568,1,1,1,526.274309536185
"33",0.272584664860042,0.0232918577443343,0.0203986856213305,1,1,1,359.149696452579
"34",0.826498798112152,0.483780423599528,0.769493572618812,1,1,1,604.790408880592
"35",0.860234640258132,0.166322907522554,0.189253534320742,1,1,1,492.940411190793
"36",0.587283787656343,0.0820434751419816,0.170717487112852,1,1,1,445.655528050264
"37",0.25674417309463,0.359562819066923,0.753143833513604,1,1,1,518.491513386678
"38",0.5352435062523,0.267206647623098,0.43790653668344,1,1,1,511.433406754298
"39",0.440874613155611,0.498467291962588,0.662104905096348,1,1,1,546.872683933123
"40",0.388693194490625,0.849186453459552,0.232059163493104,1,1,1,471.407371892302
"41",0.112667395775206,0.0745948008296546,0.225015966243809,1,1,1,378.477778129338
"42",0.528294320125133,0.888421065944713,0.316069226618856,1,1,1,503.693864849303
"43",0.288152540775482,0.477557205985067,0.848739713758696,1,1,1,541.3177755532
"44",0.223206501402892,0.920113290215377,0.41985565813724,1,1,1,470.473787906689
"45",0.95689429684775,0.468398519449402,0.875705310709309,1,1,1,625.195182114087
"46",0.0142814480606467,0.471467207670212,0.975321129274089,1,1,1,501.154825035587
"47",0.347938398839906,0.48925336641958,0.621307254822459,1,1,1,527.279616492293
"48",0.369888367850799,0.916151237292215,0.104366464923369,1,1,1,441.366874115451
"49",0.0692857428384013,0.29349589671474,0.295602957101073,1,1,1,415.227237242148
"50",0.919229438555194,0.0596519626816735,0.749893794849049,1,1,1,559.948432768278
